附魔,作用於,作用目標,描述,稀有度,最高等級
Abiding,武器,自身/環境,擁有此附魔的武器將變為無法損毀。,Legendary,1
Aegis,靴子,自身/環境,受到掉落傷害時，有機率獲得速度加成。,Ultimate,3
Allure,劍,生物,你的攻擊會將生物拉向你。,Elite,3
Ambit,劍、斧頭,生物,對半徑範圍內的生物造成傷害，範圍隨附魔等級增加。,Ultimate,7
Angelic,盔甲,自身/環境,受傷時恢復生命值。,Ultimate,5
Auto Reel,釣竿,自身/環境,當有魚上鉤時，自動收回魚竿。,Ultimate,4
Aqua,靴子,通用實體,在水中時造成雙倍傷害。,Legendary,4
Aquatic,頭盔,自身/環境,在水下呼吸。,Simple,1
Archer,弓,通用實體,增加弓箭造成的傷害。,Ultimate,4
Armored,盔甲,通用實體,每等級減少 2% 來自敵方劍類的傷害。,Legendary,4
Arrow Break,斧頭,通用實體,手持此附魔物品時，有機率使箭矢反彈。,Ultimate,6
Arrow Deflect,盔甲,通用實體,有機率防止敵方箭矢造成傷害。,Ultimate,4
Axe of Spirits,斧頭,玩家,擊殺玩家時有機率獲得更多靈魂。,Fabled,3
Bait,釣竿,自身/環境,釣魚時有機率獲得雙倍掉落物。,Legendary,3
Barbarian,斧頭,通用實體,有機率造成更高的斧頭傷害。,Legendary,4
Beastslayer,劍、斧頭,生物,增加對敵對生物造成的傷害。,Legendary,4
Berserk,劍、斧頭,自身/環境,有機率獲得力量效果，但會產生挖掘疲勞。,Unique,5
Blacksmith,斧頭,自身/環境,修復你的武器，代價是降低造成的傷害。,Legendary,5
Bleed,斧頭,通用實體,使你的對手流血。,Ultimate,6
Blind,劍,通用實體,攻擊時有機率造成失明效果。,Elite,3
Block,劍,通用實體,有機率抵消攻擊，並反彈最高 4 點傷害。,Ultimate,3
Blunt Force,斧頭,通用實體,有機率以強大的力量擊打。,Elite,4
Bone Crusher,劍、斧頭,生物,增加對骷髏造成的傷害。,Simple,3
Bowmaster,弓、弩、三叉戟,玩家,對被擊中時正手持劍的玩家造成倍增傷害。,Elite,5
Carrot Planter,鋤頭,自身/環境,Shift+右鍵點擊可在 3x3 區域內種植胡蘿蔔。,Simple,3
Chaos,三叉戟,通用實體,造成虛弱與凋零效果。,Legendary,5
Chunky,胸甲,自身/環境,有機率減少受到的傷害。,Legendary,6
Cleave,斧頭,玩家,對半徑範圍內的玩家造成傷害，範圍隨附魔等級增加。,Ultimate,7
Confuse,劍,通用實體,有機率造成噁心效果。,Ultimate,4
Convulse,靴子,通用實體,有機率將攻擊者拋向空中。,Legendary,6
Creeper Armor,盔甲,自身/環境,有機率免疫爆炸傷害，高等級時有機率恢復生命值。,Ultimate,3
Critical,劍,通用實體,增加暴擊造成的傷害。,Elite,3
Curse,盔甲,通用實體,有機率使敵人產生挖掘疲勞。,Elite,2
Deadshot,三叉戟,通用實體,使用三叉戟爆頭可造成雙倍傷害。,Legendary,5
Death Punch,劍、斧頭,生物,增加對殭屍造成的傷害。,Simple,5
Decapitation,劍、斧頭,通用實體,擊殺時有機率掉落對手的頭顱。,Simple,3
Deranged,劍,玩家,對附近的玩家召喚雷擊。,Legendary,3
Devour,武器,生物,擊殺生物時有機率恢復飢餓值。,Unique,3
Diminish,斧頭,通用實體,有機率使敵人產生挖掘疲勞。,Ultimate,1
Diploid,劍,生物,有機率使生物掉落物倍增。每次觸發消耗 5 個靈魂。,Fabled,5
Disappear,盔甲,自身/環境,生命值較低時有機率隱形。,Ultimate,4
Disarm,劍,玩家,有機率繳械對手。,Fabled,3
Disarmor,劍,玩家,有機率隨機卸下對手的一件盔甲。,Legendary,8
Disintegrate,劍,玩家,每次攻擊都有機率對敵方的所有盔甲造成額外耐久度傷害。,Ultimate,4
Distance,武器,通用實體,有機率與敵人拉開距離並獲得再生效果。,Ultimate,4
Divert,盔甲,通用實體,有機率使對手中毒並使自己獲得再生效果。,Legendary,5
Dodge,盔甲,通用實體,有機率閃避物理攻擊，潛行時機率增加。,Ultimate,5
Double Strike,劍,通用實體,有機率連續打擊兩次。,Legendary,3
Ender Slayer,武器,生物,增加對終界使者與終界龍造成的傷害。,Elite,5
Endmaster,劍,生物,對終界的生物造成雙倍傷害。,Ultimate,3
Epicness,劍,自身/環境,攻擊時顯示粒子效果。,Simple,3
Exalted,劍,自身/環境,有機率移除負面藥水效果。,Ultimate,4
Experience,工具,自身/環境,從礦石中獲得更多經驗值的機率。,Simple,5
Explosive,弓,自身/環境,箭矢有機率產生爆炸。,Unique,5
Explosive Demise,護腿,通用實體,瀕死時召喚苦力怕作為守衛。,Unique,8
Extinguish,護腿,自身/環境,著火時有機率自動滅火。,Elite,3
Famine,武器,玩家,有機率使對手產生飢餓效果。,Unique,4
Featherweight,劍、斧頭,自身/環境,有機率獲得短暫的急迫效果。,Unique,3
Forcefield,劍,通用實體,有機率擊退對手。,Simple,5
Frenzy,弩,自身/環境,箭矢有機率產生爆炸。,Unique,5
Frozen,盔甲,通用實體,防禦時有機率使攻擊者產生緩速效果。,Elite,3
Fire Hook,釣竿,自身/環境,魚鉤帶有火焰。,Elite,3
Fuddle,劍,玩家,擾亂對手的快捷列。,Ultimate,3
Fumble,胸甲,通用實體,被敵方箭矢射中時有機率使敵人爆炸。,Legendary,3
Gears,靴子,自身/環境,裝備時增加移動速度。,Legendary,3
Glowing,頭盔,自身/環境,獲得永久夜視效果。,Simple,1
Greatsword,劍,玩家,對被擊中時正手持弓的玩家造成倍增傷害。,Elite,5
Guardians,盔甲,通用實體,有機率召喚鐵魔像協助並守護你。,Ultimate,10
Hardened,盔甲,玩家,受到玩家傷害時有機率恢復耐久度。,Legendary,3
Haste,工具,自身/環境,允許你更快地揮動工具。,Fabled,3
Hasten,工具,自身/環境,破壞方塊後有機率獲得急迫效果。,Simple,3
Heavy,盔甲,通用實體,每等級減少 2% 來自敵方弓箭的傷害。,Ultimate,5
Hellfire,弓,自身/環境,箭矢變為火球。,Ultimate,5
Hook,釣竿,自身/環境,釣魚時獲得更多經驗值。,Elite,3
Hook,釣竿,自身/環境,釣魚時有機率增加幸運值。,Ultimate,3
Hunter,弓、弩、三叉戟,生物,增加對被動生物造成的傷害。,Unique,4
